name,ring,quadrant,isNew,description
OpenStack ,hold,platforms & infrastructure,FALSE,Very sensitive technology and complex to support by small team
Oracle APEX,adopt,framework & tools,FALSE,
OracleDB 19c,adopt,data management,FALSE,"Best DB, but very expensive for production usage"
Pentaho DI ,adopt,data management,FALSE,We probably will migrate to Airflow
PHP 7,adopt,languages,FALSE,
PlantUML,adopt,framework & tools,FALSE,Used to draw diagrams
PostgreSQL,adopt,data management,FALSE,Most off our services use pg to store data
Postman,adopt,framework & tools,FALSE,Tool we use to make manual testing easier
Power BI,adopt,data management,FALSE,
Prometheus,adopt,platforms & infrastructure,FALSE,We store our metrics here
Protobuf,assess,framework & tools,FALSE,
Pytest,adopt,framework & tools,FALSE,Фреймворк UnitTest-ов python
Python 3.x,adopt,languages,FALSE,Most of out python services have written on or have migrated to
R,hold,languages,FALSE,
RabbitMQ,adopt,data management,FALSE,Message broker we use in some our services
Redis,adopt,data management,FALSE,Cache and fast key-value DB
RoadRunner,hold,framework & tools,FALSE,
RoadRunner 2,adopt,framework & tools,TRUE,
SAP Business Objects,adopt,data management,FALSE,
Scala ,adopt,languages,FALSE,"Scala was used by LT office, but in general we don't need this extra language to support"
Selenium,adopt,framework & tools,FALSE,
Sentry,adopt,platforms & infrastructure,FALSE,One of our service monitoring tool
Solr,hold,data management,FALSE,We use ElasticSearch instead
SonarQube,adopt,platforms & infrastructure,FALSE,Inspection of code quality for php apps; java apps as well
Sourcery,adopt,framework & tools,TRUE,"Инструмент генерации кода. Активно используем в iOS для генерации экспериментов, кодов ошибок АПИ, моков для unit-тестов"
Spark 2 ,hold,data management,FALSE,
Spark 3,assess,data management,TRUE,
Spring,adopt,framework & tools,FALSE,The main framework for WMS services during FC2021
Spring Boot,adopt,framework & tools,FALSE,Used to configure and bootstrap stand-alone WMS services
Superset,hold,framework & tools,FALSE,We use Power BI instead
Swift,adopt,languages,FALSE,Mainstream language for iOS development
Swift Package Manager,adopt,framework & tools,TRUE,Cutting-edge менеджер зависимостей в iOS
SwiftFormat,trial,framework & tools,TRUE,Инстheмент для автоматического форматирования кода
SwiftLint,adopt,framework & tools,TRUE,Линтер в iOS
Symfony 6,adopt,framework & tools,TRUE,Main framework & components for our php apps
Symfony 4/5,adopt,framework & tools,FALSE,Main framework & components for our php apps
TensorFlow,adopt,platforms & infrastructure,FALSE,
Terraform,assess,platforms & infrastructure,TRUE,
TestRail,trial,framework & tools,FALSE,Main Test Management System
Thanos,hold,platforms & infrastructure,FALSE,Our prometheus setup to store metrics longer
TypeScript,adopt,languages,FALSE,
uWSGI,adopt,platforms & infrastructure,FALSE,Used for multiprocessed deployment of python WSGI applications
Vertica 10,adopt,data management,FALSE,
VMWare,hold,platforms & infrastructure,FALSE,
vue.js,adopt,framework & tools,FALSE,Mainstream framework for front-end development
Webpack,adopt,framework & tools,FALSE,JavaScript module bundler
WildFly,hold,platforms & infrastructure,TRUE,We use Spring instead; core WMS application runs on it
WireMock,adopt,framework & tools,FALSE,We use WireMock with Dev/QA environment for Go and PHP apps
Xcodegen,adopt,framework & tools,TRUE,Инструмент генерации файла проекта xcode. Позволяет избегать большого колечества мерж-конфликтов
XCUITest,assess,framework & tools,TRUE,Фреймворк для UI-тестирования в iOS
Zabbix,trial,platforms & infrastructure,TRUE,We plan to use it again
Zend Framework,hold,framework & tools,FALSE,We use Symfony instead
MS SQL,adopt,data management,FALSE,
Trino,assess,data management,TRUE,SQL over different storages
clear.ml,assess,data management,TRUE,Tool for ML Ops and Experiment management
Clickhouse,assess,data management,TRUE,
CatBoost,adopt,framework & tools,TRUE,Gradient Boosting Library
XGBoost,adopt,framework & tools,TRUE,Gradient Boosting Library
Yandex Cloud,assess,platforms & infrastructure,TRUE,
Kafka Streams,assess,data management,TRUE,
ksqlDB,assess,data management,TRUE,
TiDB,assess,data management,TRUE,
CockroachDB,assess,data management,TRUE,
PHP 8,adopt,languages,TRUE,
TEST IT,assess,framework & tools,TRUE,Main Test Management System
Laminas,trial,framework & tools,TRUE,Framework & components for migrate our old php apps on zend
